model,BERT_Precision,BERT_Recall,BERT_F1,Final_Summary_Quality
Qwen2.5-7.6B-Q4_K_M,0.9401882886886597,0.9497503638267517,0.9449451565742493,0.9449451565742493
Llama3.1-8B-Q4_K_M,0.9320291876792908,0.9475011825561523,0.939701497554779,0.939701497554779
Llama3.1-8B-IQ4_XS,0.9312964677810669,0.9466214179992676,0.9388964176177979,0.9388964176177979
Qwen2.5-7.6B-IQ4_XS,0.9271590113639832,0.9437177181243896,0.9353650808334351,0.9353650808334351
Qwen2.5-3B-Q4_K_M,0.9135520458221436,0.9445040822029114,0.9287703037261963,0.9287703037261963
Gemma2-9B-Q4_K_M,0.9244587421417236,0.9309502840042114,0.9276931881904602,0.9276931881904602
Gemma2-9B-IQ4_XS,0.9227352738380432,0.9296573996543884,0.9261834025382996,0.9261834025382996
Qwen2.5-1.5B-IQ4_XS,0.9046140313148499,0.942717969417572,0.9232730269432068,0.9232730269432068
Phi-2-2.8B-IQ4_XS,0.9032719135284424,0.9431695938110352,0.9227896928787231,0.9227896928787231
Phi-2-2.8B-Q4_K_M,0.9024268388748169,0.94349604845047,0.9225045442581177,0.9225045442581177
Qwen2.5-1.5B-Q4_K_M,0.9035119414329529,0.9408727288246155,0.9218139052391052,0.9218139052391052
Qwen2.5-3B-IQ4_XS,0.8999024629592896,0.9443050622940063,0.9215692281723022,0.9215692281723022
OLMoE-6.9B-IQ4_XS,0.894349992275238,0.9432242512702942,0.9181371927261353,0.9181371927261353
OLMoE-6.9B-Q4_K_M,0.8943947553634644,0.9414277672767639,0.9173087477684021,0.9173087477684021
Qwen2-0.5B-IQ4_XS,0.9002988338470459,0.9224350452423096,0.9112325310707092,0.9112325310707092
Qwen2-0.5B-Q4_K_M,0.8949407339096069,0.9198248386383057,0.9072121977806091,0.9072121977806091
